Rank,Broker Name,Hold Vol,Hold Amt (Rs),Buy Vol,Buy Amt (Rs),Avg Buy,Buy Trans,Sell Vol,Sell Amt (Rs),Avg Sell,Sell Trans,H/B Ratio,Matching Vol,Matching Amt (Rs)
52,Sundhara Securities,74521,392000000,107988,581000000,538.19,714,33467,188000000,563.26,417,69.01,369,239145.6
26,Asian Securities,39983,198000000,110425,589000000,534.29,534,70442,391000000,556.04,547,36.21,2701,1368823.8
57,Aryatara Investment,39850,234000000,125625,716000000,570.34,1056,85775,481000000,561.81,891,31.72,2791,1510379.5
84,Milky Way Share,36809,195000000,39071,206000000,528.34,91,2262,11390000,503.56,21,94.21,0,0
14,Nepal Stock Holding,36140,211000000,167014,928000000,555.84,832,130874,716000000,547.56,846,21.64,25334,12976090.8
71,Shubhakamana Securities,33786,218000000,64921,426000000,656.86,246,31135,207000000,666.61,185,52.04,1100,743600
43,South Asian Business,26891,138000000,81220,438000000,540.04,451,54329,299000000,551.88,405,33.11,2425,1300584
42,Sani Securities,23636,103000000,187283,1044000000,557.93,1758,163647,941000000,575.37,1454,12.62,9743,5314330.9
38,Dipshikha Dhit,18632,128000000,98367,561000000,571.25,854,79735,433000000,543.57,729,18.94,1461,819918.9
13,Thrive Brokerage,14849,88320000,67654,385000000,569.62,1237,52805,297000000,562.54,511,21.95,812,465394.1
59,Deevyaa Securities,14502,90640000,47021,272000000,579.12,388,32519,181000000,558.65,315,30.84,201,118740.3
77,Nabil Securities,13786,87960000,25333,153000000,607.35,161,11547,65890000,570.66,74,54.42,445,342650
7,J.F. Securities,13439,77060000,29004,161000000,558.23,341,15565,84840000,545.12,186,46.33,12,6514.4
64,Sun Securities,11809,58000000,40512,231000000,572.49,204,28703,173000000,605.93,158,29.15,0,0
17,ABC Securities,11314,54080000,75532,409000000,541.74,595,64218,355000000,552.95,690,14.98,1194,656678
6,Agrawal Securities,10828,74720000,62890,373000000,594.17,573,52062,298000000,574.22,560,17.22,3300,2076199
20,Sipla Securities,9711,49980000,14730,79750000,541.43,56,5019,29770000,593.16,26,65.93,1096,684802
37,Swarna Laxmi,9574,52940000,24589,134000000,547.48,176,15015,81670000,543.93,163,38.94,130,63050
44,Dynamic Money,9307,64300000,52357,304000000,580.64,310,43050,239000000,556.79,400,17.78,372,201744
22,Siprabi Securities,8805,45610000,46970,270000000,576.74,500,38165,225000000,590.29,366,18.75,379,291260
28,Shree Krishna,8028,54470000,53126,296000000,557.73,365,45098,241000000,536.22,368,15.11,1296,686521
47,Neev Securities,7230,23600000,71523,384000000,537.60,546,64293,360000000,561.34,536,10.11,544,279146.4
32,Premier Securities,6628,43570000,64781,378000000,584.34,533,58153,334000000,576.01,562,10.23,575,323234.2
68,Elite Stock Holding,6206,33680000,10737,59420000,553.44,72,4531,25730000,568.01,40,57.80,0,0
56,Sri Hari Securities,5714,33740000,37589,207000000,551.51,332,31875,173000000,544.51,323,15.20,1104,577066.9
33,Dakshinkali Investment,4997,30520000,45808,266000000,582.25,383,40811,236000000,578.75,370,10.91,400,264310
94,KBL Securities,4791,27550000,19718,113000000,577.88,101,14927,86390000,578.76,140,24.30,10,4910
19,Nepal Investment,4530,26770000,46926,273000000,582.79,487,42396,246000000,581.91,459,9.65,1885,1263697
61,Bhole Ganesh,3912,24050000,10897,60200000,552.53,54,6985,36150000,517.61,33,35.90,0,0
11,Malla & Malla,3646,24040000,22271,127000000,572.27,262,18625,103000000,555.20,219,16.37,180,92550
62,Capital Max Securities,3217,29340000,42255,252000000,598.54,332,39038,223000000,572.70,336,7.61,105,57699.4
5,Market Securities,2830,16920000,24529,135000000,552.07,312,21699,118000000,546.06,204,11.54,38,19632
88,Blue Chip Securities,2755,11550000,9857,54420000,552.18,91,7102,42870000,603.66,29,27.95,1378,699778.3
95,Magnet Securities,2156,11570000,6235,33900000,543.74,36,4079,22320000,547.28,42,34.58,0,0
21,Midas Stock Broker,1918,4330000,29891,168000000,563.83,358,27973,164000000,586.97,333,6.42,1010,526836.5
8,Ashutosh Broker,1793,16140000,34934,211000000,606.07,278,33141,195000000,590.15,263,5.13,263,156427.2
60,Nagarik Stock,1768,32500000,45533,277000000,610.52,285,43765,245000000,560.92,287,3.88,117,60968.7
100,Sunrise Securities,1609,7780000,1802,9020000,500.99,8,193,1230000,641.50,3,89.29,0,0
69,INDEX SECURITIES,1585,8990000,15561,85850000,551.75,52,13976,76860000,549.95,116,10.19,0,0
87,S.P.S.A. Securities,586,3140000,2923,15730000,538.27,33,2337,12580000,538.51,15,20.05,0,0
91,C.B.I.L. Securities,351,1100000,5635,30860000,547.66,48,5284,29750000,563.13,62,6.23,0,0
89,JBNL Securities,208,1510000,1500,8510000,567.78,39,1292,7000000,542.15,29,13.87,0,0
53,Investment Management,194,22680000,43387,235000000,543.93,389,43193,257000000,596.17,362,0.45,805,440862.5
